"Date","Price","Open","High","Low","Change %"
"05/05/2022","171.11","168.51","171.11","168.51","1.62%"
"05/04/2022","168.39","165.02","168.39","165.02","1.51%"
"05/03/2022","165.88","166.61","166.61","165.88","0.27%"
"05/02/2022","165.43","166.80","166.80","165.43","0.00%"
"04/29/2022","165.43","167.20","167.20","165.43","0.42%"
"04/28/2022","164.74","164.28","164.74","164.28","1.02%"
"04/27/2022","163.07","159.24","163.07","159.24","2.15%"
"04/26/2022","159.63","156.01","159.63","156.01","3.44%"
"04/25/2022","154.32","150.96","154.32","150.96","2.12%"
"04/22/2022","151.11","151.12","151.12","151.11","0.67%"
"04/21/2022","150.10","150.84","150.84","150.10","-0.53%"
"04/20/2022","150.90","152.44","152.44","150.90","-0.58%"
"04/19/2022","151.78","150.03","151.78","150.03","1.19%"
"04/18/2022","149.99","149.98","149.99","149.98","0.00%"
"04/15/2022","149.99","149.99","149.99","149.99","-0.03%"
"04/14/2022","150.03","150.97","150.97","150.03","0.05%"
"04/13/2022","149.96","149.07","149.96","149.07","0.66%"
"04/12/2022","148.98","149.56","149.56","148.98","0.07%"
"04/11/2022","148.88","151.19","151.19","148.88","-1.12%"
"04/08/2022","150.56","152.93","152.93","150.56","-0.94%"
"04/07/2022","151.99","150.93","151.99","150.93","0.62%"
"04/06/2022","151.05","151.15","151.15","151.05","0.30%"
"04/05/2022","150.60","149.01","150.60","149.01","1.80%"
"04/04/2022","147.93","150.93","150.93","147.93","-0.80%"
"04/01/2022","149.13","150.38","150.38","149.13","-0.58%"
"03/31/2022","150.00","151.26","151.26","150.00","-0.50%"
"03/30/2022","150.76","149.42","150.76","149.42","-0.34%"
"03/29/2022","151.27","156.22","156.22","151.27","-4.63%"
"03/28/2022","158.61","158.23","158.61","158.23","-0.96%"
"03/25/2022","160.14","161.00","161.00","160.14","-1.18%"
"03/24/2022","162.05","159.00","162.05","159.00","1.02%"
"03/23/2022","160.41","158.01","160.41","158.01","0.20%"
"03/22/2022","160.09","162.03","162.03","160.09","-1.52%"
"03/21/2022","162.56","158.74","162.56","158.74","4.47%"
"03/18/2022","155.60","148.50","155.60","148.50","3.23%"
"03/17/2022","150.73","148.52","150.73","148.52","-1.67%"
"03/16/2022","153.29","154.87","154.87","153.29","-2.29%"
"03/15/2022","156.89","153.89","156.89","153.89","0.58%"
"03/14/2022","155.98","150.55","155.98","150.55","1.10%"
"03/11/2022","154.28","147.54","154.28","147.54","0.90%"
"03/10/2022","152.91","140.81","152.91","140.81","4.04%"
"03/09/2022","146.97","152.48","152.48","146.97","-7.76%"
"03/08/2022","159.33","158.39","159.33","158.39","-0.84%"
"03/07/2022","160.68","150.47","160.68","150.47","7.69%"
"03/04/2022","149.21","141.44","149.21","141.44","6.37%"
"03/03/2022","140.28","139.27","140.28","139.27","1.91%"
"03/02/2022","137.65","137.06","137.65","137.06","0.94%"
"03/01/2022","136.37","135.04","136.37","135.04","0.66%"
"02/28/2022","135.47","126.50","135.47","126.50","5.56%"
"02/25/2022","128.33","133.03","133.03","128.33","-3.84%"
"02/24/2022","133.45","127.07","133.45","127.07","3.76%"
"02/23/2022","128.61","126.24","128.61","126.24","1.15%"
"02/22/2022","127.15","129.13","129.13","127.15","-0.72%"
"02/21/2022","128.07","118.47","128.07","118.47","7.88%"
"02/18/2022","118.72","112.16","118.72","112.16","4.53%"
"02/17/2022","113.57","112.15","113.57","112.15","0.45%"
"02/16/2022","113.06","111.66","113.06","111.66","-0.25%"
"02/15/2022","113.34","113.63","113.63","113.34","-0.86%"
"02/14/2022","114.32","110.05","114.32","110.05","3.42%"
"02/11/2022","110.54","107.80","110.54","107.80","1.50%"
"02/10/2022","108.91","103.89","108.91","103.89","2.80%"
"02/09/2022","105.94","106.81","106.81","105.94","-1.83%"
"02/08/2022","107.91","109.75","109.75","107.91","-1.79%"
"02/07/2022","109.88","104.88","109.88","104.88","4.21%"
"02/04/2022","105.44","102.93","105.44","102.93","2.40%"
"02/03/2022","102.97","98.04","102.97","98.04","3.99%"
"02/02/2022","99.02","100.00","100.00","99.02","-1.47%"
"02/01/2022","100.50","99.97","100.50","99.97","0.02%"
"01/31/2022","100.48","99.71","100.48","99.71","0.13%"
"01/28/2022","100.35","97.07","100.35","97.07","1.85%"
"01/27/2022","98.53","97.06","98.53","97.06","1.55%"
"01/26/2022","97.03","96.58","97.03","96.58","0.25%"
"01/25/2022","96.79","96.58","96.79","96.58","0.00%"
"01/24/2022","96.79","94.18","96.79","94.18","2.87%"
"01/21/2022","94.09","94.58","94.58","94.58","1.36%"
"01/20/2022","92.83","90.23","92.83","90.23","-0.54%"
"01/19/2022","93.33","94.58","94.58","93.33","-1.02%"
"01/18/2022","94.29","93.65","94.29","93.65","2.13%"
"01/17/2022","92.32","90.23","92.32","90.23","1.89%"
"01/14/2022","90.61","89.26","90.61","89.26","1.08%"
"01/13/2022","89.64","89.26","89.64","89.26","0.56%"
"01/12/2022","89.14","89.76","89.76","89.14","-0.81%"
"01/11/2022","89.87","89.60","89.87","89.60","0.09%"
"01/10/2022","89.79","88.74","89.79","88.74","1.05%"
"01/07/2022","88.86","88.29","88.86","88.29","0.82%"
"01/06/2022","88.14","86.33","88.14","86.33","1.71%"
"01/05/2022","86.66","86.83","86.83","86.66","-0.86%"
"01/04/2022","87.41","87.32","87.41","87.32","-0.84%"
"01/03/2022","88.15","87.32","88.15","87.32","-0.01%"
"12/31/2021","88.16","88.78","88.78","88.16","-1.38%"
"12/30/2021","89.39","87.80","89.39","87.80","0.56%"
"12/29/2021","88.89","87.32","88.89","87.32","0.27%"
"12/28/2021","88.65","87.32","88.65","87.32","0.00%"
"12/27/2021","88.65","87.32","88.65","87.32","1.53%"
"12/24/2021","87.31","87.80","87.80","87.31","-1.78%"
"12/23/2021","88.89","87.81","88.89","87.81","0.00%"
"12/22/2021","88.89","89.75","89.75","88.89","-1.08%"
"12/21/2021","89.86","90.24","90.24","89.86","-1.37%"
"12/20/2021","91.11","89.27","91.11","89.27","0.53%"
"12/17/2021","90.63","90.25","90.63","90.25","-0.54%"
"12/16/2021","91.12","91.21","91.21","91.12","-0.52%"
"12/15/2021","91.60","90.24","91.60","90.24","0.53%"
"12/14/2021","91.12","91.71","91.71","91.12","-1.33%"
"12/13/2021","92.35","91.70","92.35","91.70","0.00%"
"12/10/2021","92.35","91.70","92.35","91.70","0.00%"
"12/09/2021","92.35","92.68","92.68","92.35","-1.05%"
"12/08/2021","93.33","92.68","93.33","92.68","-0.54%"
"12/07/2021","93.84","95.11","95.11","93.84","-1.80%"
"12/06/2021","95.56","95.12","95.56","95.12","0.00%"
"12/03/2021","95.56","95.11","95.56","95.11","0.00%"
"12/02/2021","95.56","88.78","95.56","88.78","0.00%"
"12/01/2021","95.56","95.11","95.56","95.11","-0.52%"
"11/30/2021","96.06","95.13","96.06","95.13","1.05%"
"11/29/2021","95.06","97.51","97.51","95.06","-1.76%"
"11/26/2021","96.76","86.13","96.76","86.13","5.07%"
"11/25/2021","92.09","88.78","92.68","88.78","0.28%"
"11/24/2021","91.83","88.78","91.83","88.78","3.34%"
"11/23/2021","88.86","86.80","88.86","86.80","1.67%"
"11/22/2021","87.40","85.84","87.40","85.84","1.11%"
"11/19/2021","86.44","86.26","86.44","86.26","-0.22%"
"11/18/2021","86.63","86.13","86.63","86.13","0.08%"
"11/17/2021","86.56","85.84","86.56","85.84","0.16%"
"11/16/2021","86.42","85.85","86.42","85.85","0.00%"
"11/15/2021","86.42","85.86","86.42","85.86","-0.01%"
"11/12/2021","86.43","85.85","86.43","85.85","0.62%"
"11/11/2021","85.90","85.32","85.90","85.32","0.30%"
"11/10/2021","85.64","84.85","85.64","84.85","0.25%"
"11/09/2021","85.43","85.82","85.82","85.43","-0.55%"
"11/08/2021","85.90","86.81","86.81","85.90","-0.89%"
"11/05/2021","86.67","87.79","87.79","86.67","-0.86%"
"11/04/2021","87.42","88.29","88.29","87.42","-1.38%"
"11/03/2021","88.64","88.78","88.78","88.64","-0.30%"
"11/02/2021","88.91","89.28","89.28","88.91","-0.26%"
"11/01/2021","89.14","89.77","89.77","89.14","0.30%"
"10/29/2021","88.87","86.85","88.87","86.85","2.28%"
"10/28/2021","86.89","86.34","86.89","86.34","0.24%"
"10/27/2021","86.68","86.81","86.81","86.68","-0.26%"
"10/26/2021","86.91","86.82","86.91","86.82","-0.57%"
"10/25/2021","87.41","86.83","87.41","86.83","-0.57%"
"10/22/2021","87.91","86.80","87.91","86.80","0.02%"
"10/21/2021","87.89","87.79","87.89","87.79","-0.59%"
"10/20/2021","88.41","88.77","88.77","88.41","-1.09%"
"10/19/2021","89.38","89.26","89.38","89.26","-0.26%"
"10/18/2021","89.61","89.26","89.61","89.26","-0.01%"
"10/15/2021","89.62","90.72","90.72","89.62","-0.28%"
"10/14/2021","89.87","91.70","91.70","89.87","-1.62%"
"10/13/2021","91.35","91.70","91.70","91.35","0.01%"
"10/12/2021","91.34","90.72","91.34","90.72","0.54%"
"10/11/2021","90.85","91.21","91.21","90.85","0.28%"
"10/08/2021","90.60","91.20","91.20","90.60","0.55%"
"10/07/2021","90.10","90.72","90.72","90.10","0.28%"
"10/06/2021","89.85","89.25","89.85","89.25","0.82%"
"10/05/2021","89.12","88.29","89.12","88.29","1.69%"
"10/04/2021","87.64","87.31","87.64","87.31","0.55%"
"10/01/2021","87.16","87.32","87.32","87.16","0.01%"
"09/30/2021","87.15","87.79","87.79","87.15","-0.29%"
"09/29/2021","87.40","87.31","87.40","87.31","0.29%"
"09/28/2021","87.15","95.07","95.07","87.15","-4.26%"
"09/27/2021","91.03","93.50","93.50","91.03","2.01%"
"09/24/2021","89.24","92.71","92.71","89.24","0.44%"
"09/23/2021","88.85","93.50","93.50","88.85","-0.45%"
"09/22/2021","89.25","94.28","94.28","89.25","-0.99%"
"09/21/2021","90.14","95.78","95.78","90.14","-0.83%"
"09/20/2021","90.89","88.05","90.89","88.05","12.18%"
"09/17/2021","81.02","82.05","82.05","81.02","0.01%"
"09/16/2021","81.01","82.04","82.04","81.01","-0.61%"
"09/15/2021","81.51","82.81","82.81","81.51","-0.49%"
"09/14/2021","81.91","83.57","83.57","81.91","-0.45%"
"09/13/2021","82.28","84.34","84.34","82.28","-1.06%"
"09/10/2021","83.16","84.35","84.35","83.16","-0.02%"
"09/09/2021","83.18","84.34","84.34","83.18","0.62%"
"09/08/2021","82.67","79.72","82.67","79.72","2.90%"
"09/07/2021","80.34","79.73","80.34","79.73","-0.04%"
