"Date","Price","Open","High","Low","Change %"
"06/09/2023","130.72","130.72","130.72","130.72","-0.07%"
"06/08/2023","130.81","130.81","131.87","130.81","-0.70%"
"06/07/2023","131.73","131.73","131.73","130.43","-2.26%"
"06/06/2023","134.77","134.77","134.77","133.37","-0.05%"
"06/05/2023","134.84","134.84","134.84","133.91","-1.76%"
"06/02/2023","137.25","137.25","138.67","137.25","-3.48%"
"06/01/2023","142.20","142.20","142.20","138.58","2.57%"
"05/31/2023","138.64","138.64","142.01","138.64","1.40%"
"05/30/2023","136.73","136.73","138.77","136.73","-0.02%"
"05/29/2023","136.76","136.76","139.57","136.76","-2.88%"
"05/26/2023","140.82","140.82","140.82","139.66","-4.39%"
"05/25/2023","147.28","147.28","147.28","141.44","4.62%"
"05/24/2023","140.77","140.77","146.10","140.77","-12.05%"
"05/23/2023","160.06","160.06","160.06","130.38","-2.95%"
"05/22/2023","164.93","164.93","164.93","159.99","-19.46%"
"05/19/2023","204.77","204.77","204.77","162.54","7.00%"
"05/18/2023","191.38","191.38","191.38","186.12","8.00%"
"05/17/2023","177.20","177.20","186.06","177.20","0.02%"
"05/16/2023","177.16","177.16","186.07","177.16","0.01%"
"05/15/2023","177.13","177.13","186.05","177.13","0.02%"
"05/12/2023","177.10","186.05","186.07","177.10","-0.02%"
"05/11/2023","177.13","177.13","186.05","177.13","-4.81%"
"05/10/2023","186.09","177.12","186.09","177.12","0.01%"
"05/09/2023","186.08","177.11","186.08","177.11","5.11%"
"05/08/2023","177.04","177.04","177.10","177.04","-0.04%"
"05/05/2023","177.11","180.12","180.12","177.11","1.20%"
"05/04/2023","175.01","175.01","180.88","175.01","0.03%"
"05/03/2023","174.95","174.95","174.95","174.94","2.77%"
"05/02/2023","170.24","170.24","174.96","170.24","0.15%"
"05/01/2023","169.99","169.99","172.49","169.99","-13.93%"
"04/28/2023","197.50","197.50","197.50","172.37","12.70%"
"04/27/2023","175.24","175.24","175.45","175.24","0.21%"
"04/26/2023","174.88","174.88","177.53","174.88","1.36%"
"04/25/2023","172.53","172.53","176.32","172.53","-2.82%"
"04/24/2023","177.53","177.53","177.53","175.32","-0.16%"
"04/21/2023","177.81","182.55","182.55","177.81","-0.45%"
"04/20/2023","178.61","178.61","178.73","178.61","-0.05%"
"04/19/2023","178.70","178.70","178.70","178.70","-3.48%"
"04/18/2023","185.14","185.14","185.14","185.14","-1.37%"
"04/17/2023","187.71","187.71","187.71","187.71","-2.53%"
"04/14/2023","192.58","192.58","192.58","192.58","-2.50%"
"04/13/2023","197.52","197.52","197.52","197.52","0.01%"
"04/12/2023","197.50","197.50","197.50","197.50","-4.83%"
"04/11/2023","207.53","207.53","207.53","207.53","0.03%"
"04/10/2023","207.47","207.47","207.47","207.47","-0.24%"
"04/07/2023","207.97","207.97","207.97","207.97","-0.91%"
"04/06/2023","209.89","209.89","209.89","209.89","5.13%"
"04/05/2023","199.65","199.65","199.65","199.65","2.49%"
"04/04/2023","194.79","194.79","194.79","194.79","-0.07%"
"04/03/2023","194.93","194.93","194.93","194.93","-5.07%"
"03/31/2023","205.34","205.34","205.34","205.34","-2.25%"
"03/30/2023","210.07","210.07","210.07","210.07","-10.68%"
"03/29/2023","235.18","235.18","235.18","235.18","-3.83%"
"03/28/2023","244.55","244.55","244.55","244.55","2.09%"
"03/27/2023","239.56","239.56","239.56","239.56","-1.63%"
"03/24/2023","243.52","243.52","243.52","243.52","8.75%"
"03/23/2023","223.93","223.93","223.93","223.93","-9.45%"
"03/22/2023","247.31","247.31","247.31","247.31","-1.53%"
"03/21/2023","251.14","251.14","251.14","251.14","-69.22%"
"03/17/2023","815.96","815.96","815.96","815.96","11.36%"
"03/16/2023","732.74","732.74","732.74","732.74","-32.25%"
"03/15/2023","1,081.49","1,081.49","1,081.49","1,081.49","152.02%"
"03/14/2023","429.14","429.14","429.14","429.14","0.00%"
"03/13/2023","429.12","429.12","468.42","429.12","8.37%"
"03/10/2023","395.99","395.99","428.12","395.99","-0.74%"
"03/09/2023","398.93","383.70","398.93","383.70","3.55%"
"03/08/2023","385.25","378.45","385.25","378.45","1.68%"
"03/07/2023","378.90","371.01","378.90","371.01","1.57%"
"03/06/2023","373.05","370.12","373.05","370.12","0.13%"
"03/03/2023","372.55","366.18","372.55","366.18","1.18%"
"03/02/2023","368.21","361.63","368.21","361.63","1.39%"
"03/01/2023","363.15","362.97","363.15","362.97","-1.05%"
"02/28/2023","367.02","361.24","367.02","361.24","-0.30%"
"02/27/2023","368.12","363.76","368.12","363.76","-0.34%"
"02/24/2023","369.38","357.76","369.38","357.76","0.84%"
"02/23/2023","366.30","377.57","377.57","366.30","-4.50%"
"02/22/2023","383.56","367.66","383.56","367.66","2.45%"
"02/21/2023","374.38","356.40","374.38","356.40","4.15%"
"02/20/2023","359.47","356.44","359.47","356.44","0.41%"
"02/17/2023","358.02","353.58","358.02","353.58","1.05%"
"02/16/2023","354.31","347.24","354.31","347.24","0.90%"
"02/15/2023","351.15","348.62","351.15","348.62","0.41%"
"02/14/2023","349.73","351.42","351.42","349.73","-1.69%"
"02/13/2023","355.76","355.31","355.76","355.31","1.50%"
"02/10/2023","350.49","331.13","350.49","331.13","7.78%"
"02/09/2023","325.18","325.76","325.76","325.18","0.68%"
"02/08/2023","322.98","316.31","322.98","316.31","3.12%"
"02/07/2023","313.21","319.79","319.79","313.21","-3.31%"
"02/06/2023","323.93","317.32","323.93","317.32","2.44%"
"02/03/2023","316.20","301.65","316.20","301.65","5.40%"
"02/02/2023","300.01","306.62","306.62","300.01","-3.52%"
"02/01/2023","310.95","311.75","311.75","310.95","-0.79%"
"01/31/2023","313.42","312.02","313.42","312.02","0.71%"
"01/30/2023","311.22","296.90","311.22","296.90","4.72%"
"01/27/2023","297.18","297.32","297.32","297.18","-0.52%"
"01/26/2023","298.73","315.32","315.32","298.73","-4.35%"
"01/25/2023","312.31","319.78","319.78","312.31","-1.61%"
"01/24/2023","317.41","322.35","322.35","317.41","-3.53%"
"01/23/2023","329.04","337.21","337.21","329.04","-2.25%"
"01/20/2023","336.60","334.27","336.60","334.27","1.17%"
"01/19/2023","332.72","325.44","332.72","325.44","4.10%"
"01/18/2023","319.61","344.39","344.39","319.61","-5.14%"
"01/17/2023","336.92","343.02","343.02","336.92","-0.65%"
"01/16/2023","339.14","338.80","339.14","338.80","1.51%"
"01/13/2023","334.10","353.25","353.25","334.10","-2.76%"
"01/12/2023","343.57","363.05","363.05","343.57","-3.51%"
"01/11/2023","356.06","374.28","374.28","356.06","-4.42%"
"01/10/2023","372.51","374.55","374.55","372.51","0.80%"
"01/09/2023","369.54","384.74","384.74","369.54","-3.89%"
"01/06/2023","384.51","390.01","390.01","384.51","-1.54%"
"01/05/2023","390.53","380.55","390.53","380.55","2.83%"
"01/04/2023","379.78","385.78","385.78","379.78","-0.69%"
"01/03/2023","382.40","374.21","382.40","374.21","0.92%"
"01/02/2023","378.92","374.40","378.92","374.40","-0.32%"
"12/30/2022","380.14","373.90","380.14","373.90","0.22%"
"12/29/2022","379.32","378.20","379.32","378.20","-1.20%"
"12/28/2022","383.94","385.96","385.96","383.94","-1.80%"
"12/27/2022","390.99","385.78","390.99","385.78","0.21%"
"12/26/2022","390.19","385.39","390.19","385.39","-0.11%"
"12/23/2022","390.61","393.56","393.56","390.61","-1.04%"
"12/22/2022","394.71","389.81","394.71","389.81","0.53%"
"12/21/2022","392.63","396.33","396.33","392.63","-0.89%"
"12/20/2022","396.15","395.80","396.15","395.80","0.19%"
"12/19/2022","395.40","400.81","400.81","395.40","-0.81%"
"12/16/2022","398.62","393.21","398.62","393.21","2.45%"
"12/15/2022","389.10","385.68","389.10","385.68","2.30%"
"12/14/2022","380.34","386.43","386.43","380.34","-0.71%"
"12/13/2022","383.06","414.55","414.55","383.06","-5.36%"
"12/12/2022","404.77","416.88","416.88","404.77","-0.90%"
"12/09/2022","408.44","416.02","416.02","408.44","-1.75%"
"12/08/2022","415.71","410.31","415.71","410.31","3.28%"
"12/07/2022","402.52","405.27","405.27","402.52","1.33%"
"12/06/2022","397.25","405.33","405.33","397.25","0.48%"
"12/05/2022","395.34","420.37","420.37","395.34","-4.27%"
"12/02/2022","412.99","431.49","431.49","412.99","-2.75%"
"12/01/2022","424.66","419.08","424.66","419.08","-4.61%"
"11/30/2022","445.18","419.38","445.18","419.38","6.15%"
"11/29/2022","419.39","414.37","419.39","414.37","0.54%"
"11/28/2022","417.12","357.30","417.12","357.30","15.21%"
"11/25/2022","362.04","338.28","362.04","338.28","4.60%"
"11/24/2022","346.13","342.81","346.13","342.81","-1.53%"
"11/23/2022","351.51","348.07","351.51","348.07","5.32%"
"11/22/2022","333.74","347.87","347.87","333.74","-2.87%"
"11/21/2022","343.61","352.11","352.11","343.61","-1.42%"
"11/18/2022","348.56","361.87","361.87","348.56","-2.89%"
"11/17/2022","358.93","342.23","358.93","342.23","5.36%"
"11/16/2022","340.67","317.56","340.67","317.56","6.05%"
"11/15/2022","321.25","317.31","321.25","317.31","0.03%"
"11/14/2022","321.15","322.50","322.50","321.15","1.38%"
"11/11/2022","316.79","322.86","322.86","316.79","-2.56%"
"11/10/2022","325.12","360.49","360.49","325.12","-9.75%"
"11/09/2022","360.24","338.13","360.24","338.13","9.65%"
"11/08/2022","328.55","337.85","337.85","328.55","-1.20%"
"11/07/2022","332.55","337.85","337.85","332.55","-0.48%"
"11/04/2022","334.14","343.28","343.28","334.14","-0.92%"
"11/03/2022","337.25","298.40","337.25","298.40","15.83%"
"11/02/2022","291.17","284.26","291.17","284.26","4.39%"
"11/01/2022","278.93","283.76","283.76","278.93","-0.16%"
"10/31/2022","279.38","293.36","293.36","279.38","-5.12%"
"10/28/2022","294.47","282.49","294.47","282.49","5.80%"
"10/27/2022","278.34","289.01","289.01","278.34","-1.27%"
"10/26/2022","281.93","272.99","281.93","272.99","2.90%"
"10/25/2022","273.99","284.27","284.27","273.99","-3.58%"
"10/24/2022","284.17","278.33","284.17","278.33","0.85%"
"10/21/2022","281.78","290.28","290.28","281.78","-1.12%"
"10/20/2022","284.97","279.20","284.97","279.20","2.77%"
"10/19/2022","277.30","282.98","282.98","277.30","1.26%"
"10/18/2022","273.86","289.18","289.18","273.86","-4.55%"
"10/17/2022","286.92","330.64","330.64","286.92","-11.77%"
"10/14/2022","325.18","345.56","345.56","325.18","-4.28%"
"10/13/2022","339.73","344.97","344.97","339.73","0.04%"
"10/12/2022","339.61","334.58","339.61","334.58","5.30%"
"10/11/2022","322.53","315.49","322.53","315.49","4.75%"
"10/10/2022","307.89","320.15","320.15","307.89","-4.76%"
"10/07/2022","323.28","363.60","363.60","323.28","-8.32%"
"10/06/2022","352.61","388.64","388.64","352.61","-6.75%"
"10/05/2022","378.12","316.48","378.12","316.48","24.02%"
"10/04/2022","304.89","320.06","320.06","304.89","-4.56%"
"10/03/2022","319.47","275.35","319.47","275.35","15.67%"
"09/30/2022","276.18","270.41","276.18","270.41","2.65%"
"09/29/2022","269.05","260.23","269.05","260.23","3.82%"
"09/28/2022","259.16","255.99","259.16","255.99","2.73%"
"09/27/2022","252.28","255.95","255.95","252.28","3.09%"
"09/26/2022","244.73","241.48","244.73","241.48","1.03%"
"09/23/2022","242.23","240.96","242.23","240.96","1.43%"
"09/22/2022","238.81","251.21","251.21","238.81","-3.85%"
"09/21/2022","248.38","246.62","248.38","246.62","0.87%"
"09/20/2022","246.23","236.32","246.23","236.32","5.88%"
"09/19/2022","232.55","230.77","232.55","230.77","0.03%"
"09/16/2022","232.48","230.77","232.48","230.77","1.41%"
"09/15/2022","229.25","227.37","229.25","227.37","0.62%"
"09/14/2022","227.84","232.34","232.34","227.84","0.12%"
"09/13/2022","227.57","253.99","253.99","227.57","-1.74%"
"09/12/2022","231.60","232.34","232.34","231.60","0.02%"
"09/09/2022","231.56","254.39","254.39","231.56","-5.48%"
"09/08/2022","244.98","253.99","253.99","244.98","0.00%"
"09/07/2022","244.98","253.57","253.57","244.98","0.02%"
"09/06/2022","244.93","253.49","253.49","244.93","0.03%"
"09/05/2022","244.86","253.99","253.99","244.86","0.02%"
"09/02/2022","244.81","253.99","253.99","244.81","-3.72%"
"09/01/2022","254.28","250.28","254.28","250.28","3.32%"
"08/31/2022","246.10","243.49","246.10","243.49","3.08%"
"08/30/2022","238.74","237.08","238.74","237.08","2.31%"
"08/29/2022","233.35","238.73","238.73","233.35","0.17%"
"08/26/2022","232.95","231.10","232.95","231.10","0.72%"
"08/25/2022","231.28","235.16","235.16","231.28","-1.10%"
"08/24/2022","233.86","233.34","233.86","233.34","0.44%"
"08/23/2022","232.83","233.41","233.41","232.83","0.77%"
"08/22/2022","231.05","219.60","231.05","219.60","3.74%"
"08/19/2022","222.73","216.21","222.73","216.21","2.14%"
"08/18/2022","218.06","223.15","223.15","218.06","-0.87%"
"08/17/2022","219.97","217.16","219.97","217.16","1.97%"
"08/16/2022","215.73","215.26","215.73","215.26","1.08%"
"08/15/2022","213.42","210.28","213.42","210.28","0.31%"
"08/12/2022","212.75","210.42","212.75","210.42","-0.99%"
"08/11/2022","214.87","218.20","218.20","214.87","-2.72%"
"08/10/2022","220.88","222.21","222.21","220.88","-1.51%"
"08/09/2022","224.27","210.67","224.27","210.67","2.75%"
"08/08/2022","218.26","214.60","218.26","214.60","-1.10%"
"08/05/2022","220.68","218.37","220.68","218.37","-0.16%"
"08/04/2022","221.04","213.36","221.04","213.36","1.42%"
"08/03/2022","217.95","215.95","217.95","215.95","-0.25%"
"08/02/2022","218.49","206.63","218.49","206.63","3.63%"
"08/01/2022","210.83","202.44","210.83","202.44","1.49%"
"07/29/2022","207.73","208.88","208.88","207.73","-3.69%"
"07/28/2022","215.68","219.98","219.98","215.68","-3.06%"
"07/27/2022","222.49","213.85","222.49","213.85","3.22%"
"07/26/2022","215.55","206.63","215.55","206.63","3.18%"
"07/25/2022","208.90","207.12","208.90","207.12","-2.13%"
"07/22/2022","213.45","218.56","218.56","213.45","-4.89%"
"07/21/2022","224.43","221.54","224.43","221.54","-0.63%"
"07/20/2022","225.86","231.86","231.86","225.86","-4.30%"
"07/19/2022","236.00","237.29","237.29","236.00","-2.64%"
"07/18/2022","242.41","244.29","244.29","242.41","-0.86%"
"07/15/2022","244.52","233.64","244.52","233.64","1.42%"
"07/14/2022","241.10","230.90","241.10","230.90","2.63%"
"07/13/2022","234.92","228.86","234.92","228.86","1.02%"
"07/12/2022","232.54","222.44","232.54","222.44","2.17%"
"07/11/2022","227.59","221.20","227.59","221.20","0.83%"
"07/08/2022","225.71","225.34","225.71","225.34","-2.15%"
"07/07/2022","230.66","228.59","230.66","228.59","-1.44%"
"07/06/2022","234.04","231.98","234.04","231.98","-0.68%"
"07/05/2022","235.65","236.83","236.83","235.65","2.00%"
"07/04/2022","231.03","230.83","231.03","230.83","0.01%"
"07/01/2022","231.01","230.23","231.01","230.23","-0.24%"
"06/30/2022","231.57","220.53","231.57","220.53","5.20%"
"06/29/2022","220.13","213.13","220.13","213.13","2.96%"
"06/28/2022","213.80","210.85","213.80","210.85","0.72%"
"06/27/2022","212.28","210.55","212.28","210.55","1.39%"
"06/24/2022","209.36","210.91","210.91","209.36","-0.16%"
"06/23/2022","209.70","206.66","209.70","206.66","3.02%"
"06/22/2022","203.55","200.70","203.55","200.70","0.57%"
"06/21/2022","202.39","191.04","202.39","191.04","-0.60%"
"06/20/2022","203.62","191.34","203.62","191.34","0.17%"
"06/17/2022","203.27","190.84","203.27","190.84","0.00%"
"06/16/2022","203.28","190.24","203.28","190.24","5.84%"
"06/15/2022","192.06","193.38","193.38","192.06","-1.47%"
"06/14/2022","194.92","186.75","194.92","186.75","3.61%"
"06/13/2022","188.12","181.70","188.12","181.70","4.55%"
"06/10/2022","179.93","167.75","179.93","167.75","7.43%"
"06/09/2022","167.48","165.71","167.48","165.71","1.22%"
"06/08/2022","165.46","165.83","165.83","165.46","0.36%"
"06/07/2022","164.87","163.21","164.87","163.21","0.78%"
"06/06/2022","163.59","163.06","163.59","163.06","-0.32%"
"06/03/2022","164.12","163.11","164.12","163.11","-0.07%"
"06/02/2022","164.23","163.20","164.23","163.20","0.08%"
"06/01/2022","164.10","160.49","164.10","160.49","1.08%"
"05/31/2022","162.35","154.38","162.35","154.38","1.92%"
"05/30/2022","159.29","156.91","159.29","156.91","-1.31%"
"05/27/2022","161.40","161.97","161.97","161.40","-2.50%"
"05/26/2022","165.54","169.63","169.63","165.54","-3.36%"
"05/25/2022","171.29","173.72","173.72","171.29","-1.46%"
"05/24/2022","173.83","169.68","173.83","169.68","1.45%"
"05/23/2022","171.34","176.96","176.96","171.34","-2.58%"
"05/20/2022","175.88","173.57","175.88","173.57","1.58%"
"05/19/2022","173.15","172.53","173.15","172.53","1.12%"
"05/18/2022","171.23","168.62","171.23","168.62","1.33%"
"05/17/2022","168.98","174.70","174.70","168.98","-2.77%"
"05/16/2022","173.80","172.58","173.80","172.58","0.51%"
"05/13/2022","172.91","176.12","176.12","172.91","-0.01%"
"05/12/2022","172.93","175.62","175.62","172.93","0.55%"
"05/11/2022","171.99","175.62","175.62","171.99","-2.34%"
"05/10/2022","176.12","174.46","176.12","174.46","-0.09%"
"05/09/2022","176.27","171.71","176.27","171.71","2.46%"
"05/06/2022","172.04","168.51","172.04","168.51","0.54%"
